Datetime,Zone,Value,Trend,Residual
2017-01-01 00:00:00,Zone 1,29197.974683333334,29710.136519558153,1898.7125342141262
2017-01-01 10:00:00,Zone 1,26685.56962,29759.94689878425,1679.1338210571812
2017-01-02 10:00:00,Zone 1,26384.810126666667,29886.41222110585,-1912.718045011301
2017-01-02 11:00:00,Zone 1,28224.810126666667,29891.832226324652,-2229.373949051307
2017-01-02 12:00:00,Zone 1,29581.772151666664,29897.26022359488,-1777.2683928002625
2017-01-02 13:00:00,Zone 1,29485.56962,29902.695852899935,-1589.964878020768
2017-01-08 10:00:00,Zone 1,29874.43038,30767.45175125947,1957.2358176139787
2017-01-08 11:00:00,Zone 1,32192.40506166667,30773.123093513397,1756.291164605489
2017-01-11 07:00:00,Zone 1,21324.556963333333,30912.630504662324,-1979.7520991203455
2017-01-11 08:00:00,Zone 1,23224.303796666663,30908.201694058505,-1774.1721478343425
2017-01-14 23:00:00,Zone 1,28128.607594999998,30756.068165329874,-2829.753946652996
2017-01-15 00:00:00,Zone 1,25577.721518333332,30759.606387115517,-1713.6068643648177
2017-01-15 01:00:00,Zone 1,19373.164556666667,30763.181946419598,-3239.703800443367
2017-01-15 02:00:00,Zone 1,17353.924049999998,30766.79060798735,-3171.738091333973
2017-01-15 03:00:00,Zone 1,16338.227846666667,30770.428523331295,-3256.2062373696135
2017-01-15 04:00:00,Zone 1,15908.860761666665,30774.092457360774,-3518.8416893490357
2017-01-15 05:00:00,Zone 1,16288.607595000001,30777.779816002538,-3716.8325462237553
2017-01-15 06:00:00,Zone 1,17296.202531666666,30781.48851572798,-3952.705796728289
2017-01-15 07:00:00,Zone 1,14329.113923333332,30785.21690794955,-4528.152695273206
2017-01-15 08:00:00,Zone 1,15346.835443333335,30788.963767237994,-4328.5735755919595
2017-01-15 09:00:00,Zone 1,18377.72152,30792.72833222639,-4683.263780605201
2017-01-15 10:00:00,Zone 1,22342.278479999997,30796.510241398497,-4955.842480011906
2017-01-15 11:00:00,Zone 1,24767.594938333335,30800.30956148923,-5188.871441695566
2017-01-15 12:00:00,Zone 1,28669.367088333336,30804.126797439807,-3297.815275769113
2017-01-16 21:00:00,Zone 1,38437.46835666667,30950.174166164765,-1957.3156548685365
2017-01-18 08:00:00,Zone 1,27029.873418333333,31261.531685089773,1698.7344315492228
2017-01-18 09:00:00,Zone 1,30353.41772166667,31273.879089379374,1831.969901690787
2017-01-18 10:00:00,Zone 1,34226.83544166666,31286.37573372698,2437.0293839950427
2017-01-18 11:00:00,Zone 1,36638.98734166667,31299.015323333184,2193.8673590957733
2017-01-18 12:00:00,Zone 1,37590.88607666667,31311.791107904628,1727.2315215253657
2017-01-18 13:00:00,Zone 1,38044.55696,31324.695595682006,1909.3620470844508
2017-01-18 14:00:00,Zone 1,38087.088606666664,31337.720545374836,2604.4016882180404
2017-01-18 15:00:00,Zone 1,37466.32911166667,31350.856823104572,2493.353671352299
2017-01-18 16:00:00,Zone 1,36839.49367166666,31364.09397505685,2828.440963290348
2017-01-18 17:00:00,Zone 1,39201.01265833333,31377.419783967525,2198.0452902207326
2017-01-19 17:00:00,Zone 1,39614.17721666666,31686.201511967392,1715.8355972609752
2017-01-20 16:00:00,Zone 1,31493.670886666663,31871.572325416826,-2590.699498781829
2017-01-20 17:00:00,Zone 1,34504.30379666667,31876.164788144404,-2698.0143338084235
2017-01-22 08:00:00,Zone 1,22428.354430000003,31947.19091227884,1715.490642544839
2017-01-22 10:00:00,Zone 1,30362.531646666666,31948.67387655846,1753.6699438237265
2017-01-22 11:00:00,Zone 1,33944.303795,31949.429653367086,2556.653434022068
2017-01-22 12:00:00,Zone 1,35265.822785000004,31950.199048695154,2380.1049746649587
2017-01-22 13:00:00,Zone 1,36174.177213333336,31950.98437227363,1980.455361368975
2017-01-24 10:00:00,Zone 1,30943.797466666667,31977.213028453756,-1939.3909231781872
2017-01-24 11:00:00,Zone 1,30931.645568333333,31976.20721732311,-3812.0600819695355
2017-01-24 12:00:00,Zone 1,32190.37974666667,31975.037467267688,-3430.644306015238
2017-01-24 13:00:00,Zone 1,32623.797468333334,31973.701349907165,-3078.649134477175
2017-01-24 14:00:00,Zone 1,33369.113925000005,31972.197759050006,-1774.357654037136
2017-01-27 16:00:00,Zone 1,35521.012656666666,31613.079450872327,1939.58060759004
2017-01-27 17:00:00,Zone 1,38371.64557,31608.498042645806,2121.9299520691784
2017-01-29 16:00:00,Zone 1,28972.151898333334,31421.168945297548,-1728.763568234237
2017-01-29 17:00:00,Zone 1,30597.468353333334,31416.394716486768,-1832.7197409471955
2017-01-29 18:00:00,Zone 1,38810.126581666664,31411.536408028336,-1576.6869805234928
2017-01-29 19:00:00,Zone 1,39474.43038,31406.595087960308,-1709.225590121423
2017-01-29 20:00:00,Zone 1,40016.20253166666,31401.572526500015,-1641.5311265141681
2017-02-09 17:00:00,Zone 1,33030.508473333335,30628.656773078776,-1655.8020079504095
2017-02-10 09:00:00,Zone 1,24009.152543333334,30718.24017607815,-2691.8416524464446
2017-02-10 10:00:00,Zone 1,28217.288136666666,30722.61550286851,-1847.7472528307699
2017-02-10 11:00:00,Zone 1,30434.237288333334,30726.83598097687,-2024.411344467273
2017-02-10 12:00:00,Zone 1,30773.898306666666,30730.902148105328,-1637.206138921505
2017-02-10 16:00:00,Zone 1,35199.66101833333,30745.66110207055,2042.8638399387455
2017-02-10 17:00:00,Zone 1,36808.47457666667,30748.991037277006,2322.6204701664137
2017-02-12 17:00:00,Zone 1,34186.77966166667,30836.047675398662,2624.10224300098
2017-02-12 18:00:00,Zone 1,41546.44067833333,30838.400002891933,2565.606550966724
2017-02-12 19:00:00,Zone 1,42897.96610166667,30840.834508836444,2211.68012921387
2017-02-12 20:00:00,Zone 1,43332.20339,30843.351293931544,2172.1041423942697
2017-02-13 09:00:00,Zone 1,29490.508475,30882.58015486637,1933.7203131915776
2017-02-13 10:00:00,Zone 1,32599.322035,30885.980005862428,1928.475497225987
2017-02-13 11:00:00,Zone 1,34753.22034,30889.41495869316,1678.66077706539
2017-02-13 12:00:00,Zone 1,36746.440676666665,30892.88105461063,1769.510811353277
2017-02-13 13:00:00,Zone 1,38398.98305166667,30896.37411730116,2918.8867756149484
