Datetime,Zone 1,Zone 1 seasonal naive,Zone 2,Zone 2 seasonal naive,Zone 3,Zone 3 seasonal naive
2017-12-31 00:00:00,27337.205795764254,26492.27,21869.003104993328,21356.857,11093.873,11733.974
2017-12-31 01:00:00,23266.48029372033,23386.564,18198.8168870119,18284.137,10497.926,10818.728
2017-12-31 02:00:00,21835.292818904752,21442.84,16575.775267289875,16417.307,9172.26,10078.271
2017-12-31 03:00:00,21835.292818904752,20925.729,16575.775267289875,15712.182,8957.973,9678.752
2017-12-31 04:00:00,21835.292818904752,20793.916,16287.430849100485,15358.699,8902.283,9466.507
2017-12-31 05:00:00,21835.292818904752,20788.846,16575.775267289875,15780.914,8805.135,9644.178
2017-12-31 06:00:00,21835.292818904752,20966.287,16575.775267289875,16111.077,8648.146,9331.093
2017-12-31 07:00:00,21835.292818904752,18675.793,13568.170229732988,13199.141,7490.101,6808.163
2017-12-31 08:00:00,21835.292818904752,19828.645,14119.36321005973,13912.856,7490.101,7024.2495
2017-12-31 09:00:00,23266.48029372033,22564.258,16594.641998329298,16661.553,7739.908,8065.306
2017-12-31 10:00:00,25186.86341315878,25981.242,19819.38487652405,19501.688,8784.933,9061.225
2017-12-31 11:00:00,27337.205795764254,27686.691,21529.195186957895,21389.996,8909.196,9808.403
2017-12-31 12:00:00,29251.57248352719,28719.898,22846.53761082114,22312.365,9260.792,10276.11
2017-12-31 13:00:00,29251.57248352719,28848.67,22846.53761082114,22521.02,9701.59,10414.405
2017-12-31 14:00:00,29251.57248352719,28848.67,22846.53761082114,22386.008,9490.263,10375.99
2017-12-31 15:00:00,27337.205795764254,28008.111,22846.53761082114,22131.941,9490.263,10097.479
2017-12-31 16:00:00,27337.205795764254,27519.393,22448.369880457354,22109.236,9490.263,10117.647
2017-12-31 17:00:00,34040.2737851569,33313.055,27428.86823704559,27210.8,13796.277,14544.058
2017-12-31 18:00:00,37476.290352109354,37465.145,28755.703619919568,30469.469,15643.219,15895.318
2017-12-31 19:00:00,37476.290352109354,38154.625,31025.479228477478,31106.475,15777.351,16190.156
2017-12-31 20:00:00,37476.290352109354,38498.35,31025.479228477478,31148.818,15710.501,16183.434
2017-12-31 21:00:00,37403.67674209024,36678.33,28755.703619919568,30104.94,15423.758,15513.085
2017-12-31 22:00:00,34040.2737851569,33940.684,27428.86823704559,27664.314,13879.035,14158.943
2017-12-31 23:00:00,29251.57248352719,29687.2,24625.750136138577,24298.865,12051.926,12674.189
2018-01-01 00:00:00,25186.86341315878,25849.43,20676.70164673668,20883.094,11957.827,11248.9795
2018-01-01 01:00:00,23266.48029372033,23377.44,18198.8168870119,18306.842,10240.792,10279.952
2018-01-01 02:00:00,21835.292818904752,22054.246,17097.38830019167,16992.943,9942.22,9545.258
2018-01-01 03:00:00,21835.292818904752,21605.07,16575.775267289875,16463.332,9823.144,9321.488
2018-01-01 04:00:00,21835.292818904752,21449.938,16575.775267289875,16254.68,9771.647,9375.2705
2018-01-01 05:00:00,21835.292818904752,22205.322,17800.297379968233,17172.139,9748.3545,9559.664
2018-01-01 06:00:00,23266.48029372033,23876.299,19139.226580503764,18934.643,9591.366,9330.132
2018-01-01 07:00:00,23266.48029372033,23374.398,19139.226580503764,19034.674,8416.285,7516.927
2018-01-01 08:00:00,25186.86341315878,24830.418,19308.26578571519,19864.375,8416.285,7363.265
2018-01-01 09:00:00,27337.205795764254,27236.502,21970.093170501477,22031.299,8666.093,8289.075
2018-01-01 10:00:00,31285.431833799088,30798.479,24625.750136138577,24318.502,9728.152,8958.464
2018-01-01 11:00:00,32505.042065247027,32217.998,25410.861630579395,25654.496,9852.416,9642.257
2018-01-01 12:00:00,32505.042065247027,32614.45,25410.861630579395,26702.057,9957.683,9925.57
2018-01-01 13:00:00,32505.042065247027,32800.0,26816.832872651936,26932.8,10214.985,10121.488
2018-01-01 14:00:00,32505.042065247027,32597.21,26816.832872651936,26855.477,10212.312,10167.587
2018-01-01 15:00:00,32505.042065247027,32025.348,26816.832872651936,26890.457,10043.245,9971.669
2018-01-01 16:00:00,32505.042065247027,32223.066,25410.861630579395,26366.37,10212.312,10337.575
2018-01-01 17:00:00,35532.38511240279,37838.277,32027.461960369208,31728.752,14840.196,14794.718
2018-01-01 18:00:00,41340.657175624176,40697.594,32027.461960369208,34306.844,16563.297,16425.45
2018-01-01 19:00:00,38984.30690255518,39996.957,32027.461960369208,33851.49,16680.14,16346.698
2018-01-01 20:00:00,38984.30690255518,39391.637,32027.461960369208,33619.516,16680.998,16485.955
2018-01-01 21:00:00,37476.290352109354,37353.613,32027.461960369208,32265.727,16503.396,16031.692
2018-01-01 22:00:00,34040.2737851569,33754.117,28300.458982417138,29007.672,15209.01,14569.988
2018-01-01 23:00:00,29251.57248352719,29374.904,24812.827455839157,25053.697,12863.221,12773.109
2018-01-02 00:00:00,25186.86341315878,25777.44,21869.003104993328,21403.498,11957.827,11227.852
2018-01-02 01:00:00,23266.48029372033,23274.018,19139.226580503764,18817.428,10369.945,10377.911
2018-01-02 02:00:00,21835.292818904752,22113.055,17800.297379968233,17418.227,9942.22,9886.194
2018-01-02 03:00:00,21835.292818904752,21455.006,17097.38830019167,16811.906,9896.999,9752.701
2018-01-02 04:00:00,21835.292818904752,21013.941,17097.38830019167,16876.957,9845.503,9544.298
2018-01-02 05:00:00,21835.292818904752,21801.773,17800.297379968233,17652.654,9748.3545,9744.058
2018-01-02 06:00:00,23266.48029372033,23398.732,19139.226580503764,18942.621,9665.222,9649.94
2018-01-02 07:00:00,23266.48029372033,22873.512,18798.74484147289,18723.535,8416.285,7697.479
2018-01-02 08:00:00,25186.86341315878,24518.125,19308.26578571519,19626.879,8416.285,7703.241
2018-01-02 09:00:00,27337.205795764254,27251.71,21970.093170501477,22022.707,9192.725,9145.738
2018-01-02 10:00:00,31285.431833799088,30083.65,24039.136384582962,24100.645,9462.421,9901.561
2018-01-02 11:00:00,32505.042065247027,32312.295,25191.14542396466,25487.572,9852.416,9573.109
2018-01-02 12:00:00,34040.2737851569,33551.332,25410.861630579395,26733.354,10214.985,10078.271
2018-01-02 13:00:00,34040.2737851569,33340.43,26816.832872651936,27356.857,10907.269,10874.43
2018-01-02 14:00:00,32505.042065247027,33208.617,26816.832872651936,27235.348,10907.269,10913.806
2018-01-02 15:00:00,32505.042065247027,33066.668,26816.832872651936,27527.463,10214.985,10333.733
2018-01-02 16:00:00,32505.042065247027,32452.219,26816.832872651936,27000.92,10344.139,10276.11
2018-01-02 17:00:00,35532.38511240279,37611.152,32027.461960369208,31798.098,14840.196,14861.944
2018-01-02 18:00:00,41340.657175624176,40859.824,32027.461960369208,34448.605,16466.422,16181.513
2018-01-02 19:00:00,41340.657175624176,40440.05,32027.461960369208,34058.914,16549.201,16201.681
2018-01-02 20:00:00,38984.30690255518,39675.54,32027.461960369208,33527.46,16816.275,16484.033
2018-01-02 21:00:00,37476.290352109354,37183.27,32027.461960369208,32033.752,16638.68,15855.942
2018-01-02 22:00:00,34040.2737851569,33752.09,28300.458982417138,29210.188,15344.288,14511.404
2018-01-02 23:00:00,29251.57248352719,29308.998,24812.827455839157,25352.562,12955.837,12719.328
2018-01-03 00:00:00,25186.86341315878,25451.965,21869.003104993328,21801.166,12056.926,11239.376
2018-01-03 01:00:00,23266.48029372033,22827.883,19139.226580503764,19202.822,10339.891,10188.716
2018-01-03 02:00:00,21835.292818904752,21465.146,17097.38830019167,17624.424,10041.318,9713.325
2018-01-03 03:00:00,21835.292818904752,20838.53,17097.38830019167,16972.078,9892.285,9469.388
2018-01-03 04:00:00,21835.292818904752,20658.049,17097.38830019167,16958.576,9840.789,9351.261
2018-01-03 05:00:00,21835.292818904752,21221.799,17097.38830019167,17788.28,9817.496,9677.791
